neutral,"Ин зани қавииродаву шуҷоъ Мавлуда Ахмедова аст. Аз шаҳри Ҳисор аст. Дар хонааш панелҳои офтобӣ ва обгармкунакҳо насб карда шудаанд.

Ҳамсояҳову ҳамдеҳагонпшро бо оби гарму баъзан вақт бо қувваи барқ таъмин мекунад. Зани зиндадилу хушчақчақ. 
#Pollution #RenewableEnergy #air_water https://t.co/W0bYPkl4yf"
neutral,"This is Farangis Makhkamova, dressmaker from Shakhrinav.
She also has a solar panel and a water heater in her house. She now has over 25 students. Solar panel and water heater sped up the work.

#RenewableEnergy #air_water
#PO_ARET #shahrinav https://t.co/TIaO69hIiH"
neutral,"Solar panels and water heaters in Hissor✅

#Pollution #PO_ARET #NR
#RenewableEnergy #air_water https://t.co/RETG0lVTQA"
neutral,"Rizo Bakhromzod, a Tajik scientist, talks scientifically about solar panels and water heaters.
#renewableenergy #Pollution
#PO_ARET #Hissor
@USEmbDushanbe https://t.co/Q5m5LmvVpu"
positive,"This is the Fozil Nosirov's Kulolgari workshop.
Here he and his students make different national jugs.
They need a lot of hot water. 

And here solar panels and water heaters come to the rescue 🎉

#RenewableEnergy #PO_ARET
#Pollution #NR #nurangezrustamzoda https://t.co/qE6oh8HSbA"
positive,"School #3, Shahrinav's district, has installed solar panels and water heaters for a year. Schoolchildren have always had problems with hot water. Especially during a pandemic. Now, thanks to PO ARET and the @USEmbDushanbe, ​​this problem has been solved.
#RenewableEnergy #TJK https://t.co/6cAH2U0vwV"
neutral,"This is the village of Shakhrinav in the Dusti district. And here is the solar kitchen, powered by a solar panel and a water heater.

These panels are installed with the assistance of the PO ARET and the @USEmbDushanbe.
#Tajikistan #Dushanbe
#RenewableEnergy https://t.co/j4g13DTmCI"
positive,"Kutbiya Jonshoeva from Dusti, a woman who survived violence and now helps other women.

She has solar panels and water heaters installed in her organization with the help of PO ARET &amp; @USEmbDushanbe.

Now women can easily participate in cooking courses.
#RenewableEnergy https://t.co/PRULArkVp9"
neutral,"We also visited one of the schools in Shurabad. The solar panel and water heater have been operating there for a year.

Earlier, children after physical education could not even wash their hands.

Now they can shower after gym class.

#Eco #Darvoz #Pollution #NR 
#RenewableEnergy https://t.co/BqEzqZStRH"
neutral,"Dialogue at #AcceleratorLab @undpkg, Doing Sustainable Development works in an Unsustainable environment in #Kyrgyzstan, we are advised to...

#AccLabKG #UNDPKG #AccLabs https://t.co/huO2sjYc0C"
positive,"With @MIFT_Uz co-chairing Advisory Cttee on #AralSea, where nat’l &amp; int’l devlp’t partners endorsed Integrated Roadmap on sustainable development in the region, building on excellent analysis &amp; forecasting by @UNDP_Uzbekistan @MIFT_Uz &amp; partners. 

#ForPeopleForPlanet🌱 https://t.co/kEHEh6Vvd0"
negative,"Civil registration actively promotes the Sustainable Development Goals by ensuring everyone is counted, so no one is left behind. Find out how North and Central Asia is progressing at: https://t.co/ksowA6e1fo
 #GetEveryoneInThePicture https://t.co/r2JtbpgsSE"
