Country,Total_GWh_prod,Total_RE_Gwh,RE_%_of_total,Positive,Negative,Neutral,Total
Australia,227386.0,62917.0,27.7,20,11,53,84
Austria,68351.0,50772.0,74.3,494,157,262,913
Belgium,85520.0,14168.0,16.6,1796,601,775,3172
Canada,667438.0,433597.0,65.0,4,1,7,12
Chile,79308.0,34319.0,43.3,381,151,263,795
Colombia,76904.0,48339.0,62.9,111,57,99,267
Costa Rica,10881.0,10630.0,97.7,297,120,229,646
Czech Republic,83301.0,9384.0,11.3,632,202,323,1157
Denmark,30522.0,18451.0,60.5,431,165,276,872
Estonia,12176.0,1524.0,12.5,75,24,33,132
Finland,68752.0,30407.0,44.2,75,23,34,132
France,556184.0,97242.0,17.5,1818,629,874,3321
Germany,514860.0,237610.0,46.2,657,209,363,1229
Greece,54438.0,14893.0,27.4,110,47,150,307
Hungary,31859.0,3215.0,10.1,330,120,178,628
Iceland,18550.0,18547.0,100.0,71,21,29,121
Ireland,30418.0,7515.0,24.7,1752,588,760,3100
Israel,66976.0,1656.0,2.5,90,31,63,184
Italy,289768.0,108036.0,37.3,419,138,229,786
Japan,1057976.0,158822.0,15.0,34,16,59,109
South Korea,562603.0,15930.0,2.8,51,23,70,144
Lithuania,4226.0,2088.0,49.4,90,30,51,171
Latvia,6425.0,3481.6,54.2,80,26,34,140
Luxembourg,2196.0,455.7,20.8,1558,486,716,2760
Mexico,320353.0,48937.0,15.3,774,242,542,1558
Netherlands,115170.0,13943.0,12.1,1785,606,776,3167
New Zealand,43033.0,36118.0,83.9,11,6,2,19
Norway,149630.0,145379.0,97.2,197,81,117,395
Portugal,60280.0,32262.0,53.5,255,77,148,480
Slovakia,27064.0,6629.0,24.5,406,140,221,767
Slovenia,16500.0,5057.0,30.6,492,159,263,914
Spain,274779.0,104639.0,38.1,349,111,198,658
Sweden,156010.0,89127.0,57.1,158,60,72,290
Switzerland,63175.0,37809.0,59.8,1343,427,686,2456
Turkey,274408.0,90248.0,32.9,1344,427,686,2457
United Kingdom,332893.0,110019.0,33.0,1770,641,818,3229
United States,4322038.0,637076.0,14.7,105,35,65,205
