Country,Total_GWh_prod,Total_RE_Gwh,RE_%_of_total,Positive,Negative,Neutral,Total,Electricity Consumption,Population,Avg Consumption per capita,Fossil CO2 Emissions,"Fossil CO2 Emissions: 2017vs1990, change(%)"
Australia,227386.0,62917.0,27.7,20,11,53,84,241020,25364310,9502.0,402.253,46.1
Austria,68351.0,50772.0,74.3,494,157,262,913,66849,8877070,7530.0,72.249,14.8
Belgium,85520.0,14168.0,16.6,1796,601,775,3172,82051,11484060,7145.0,104.221,-10.1
Canada,667438.0,433597.0,65.0,4,1,7,12,549263,37534000,14612.0,617.301,35.4
Chile,79308.0,34319.0,43.3,381,151,263,795,74992,18952040,3957.0,90.325,176.6
Colombia,76904.0,48339.0,62.9,111,57,99,267,70203,50339440,1395.0,74.954,44.4
Costa Rica,10881.0,10630.0,97.7,297,120,229,646,10065,5047560,1994.0,8.138,179.4
Czech Republic,83301.0,9384.0,11.3,632,202,323,1157,63920,10669710,5991.0,109.756,-32.6
Denmark,30522.0,18451.0,60.5,431,165,276,872,32703,5818550,5620.0,33.573,-37.5
Estonia,12176.0,1524.0,12.5,75,24,33,132,8858,1326590,6677.0,17.89,-53.5
Finland,68752.0,30407.0,44.2,75,23,34,132,84207,5520310,15254.0,46.846,-18.2
France,556184.0,97242.0,17.5,1818,629,874,3321,449422,66980000,6702.0,338.193,-12.4
Germany,514860.0,237610.0,46.2,657,209,363,1229,524268,83200000,6306.0,796.529,-21.8
Greece,54438.0,14893.0,27.4,110,47,150,307,53635,10716320,5005.0,72.145,-8.9
Hungary,31859.0,3215.0,10.1,330,120,178,628,41621,9769950,4260.0,50.856,-29.3
Iceland,18550.0,18547.0,100.0,71,21,29,121,18679,361310,51699.0,4.097,74.6
Ireland,30418.0,7515.0,24.7,1752,588,760,3100,27203,4941440,5505.0,38.914,18.5
Israel,66976.0,1656.0,2.5,90,31,63,184,56391,9053300,6229.0,66.916,89.6
Italy,289768.0,108036.0,37.3,419,138,229,786,297150,60244000,4928.0,361.176,-16.2
Japan,1057976.0,158822.0,15.0,34,16,59,109,902842,126860000,7150.0,1320.776,14.9
South Korea,562603.0,15930.0,2.8,51,23,70,144,527035,51710000,10192.0,673.324,149.3
Lithuania,4226.0,2088.0,49.4,90,30,51,171,11306,2786840,4057.0,15.311,-56.6
Latvia,6425.0,3481.6,54.2,80,26,34,140,6877,1912790,3595.0,8.049,-60.0
Luxembourg,2196.0,455.7,20.8,1558,486,716,2760,5817,619900,9383.0,9.54,-18.8
Mexico,320353.0,48937.0,15.3,774,242,542,1558,267910,127580000,2100.0,507.183,74.7
Netherlands,115170.0,13943.0,12.1,1785,606,776,3167,110682,17332850,6386.0,174.77,8.3
New Zealand,43033.0,36118.0,83.9,11,6,2,19,41165,4917000,8372.0,36.795,53.3
Norway,149630.0,145379.0,97.2,197,81,117,395,124127,5347900,23210.0,52.492,2.0
Portugal,60280.0,32262.0,53.5,255,77,148,480,48035,10269420,4677.0,56.771,30.0
Slovakia,27064.0,6629.0,24.5,406,140,221,767,26237,5454070,4810.0,37.855,-37.5
Slovenia,16500.0,5057.0,30.6,492,159,263,914,14023,2087950,6716.0,15.209,-8.5
Spain,274779.0,104639.0,38.1,349,111,198,658,241563,47076780,5131.0,282.364,22.8
Sweden,156010.0,89127.0,57.1,158,60,72,290,131798,10285450,12814.0,50.874,-12.5
Switzerland,63175.0,37809.0,59.8,1343,427,686,2456,56353,8574830,6572.0,39.738,-11.6
Turkey,274408.0,90248.0,32.9,1344,427,686,2457,251376,83429620,3013.0,429.563,186.6
United Kingdom,332893.0,110019.0,33.0,1770,641,818,3229,300520,66800000,4496.0,379.15,-35.6
United States,4322038.0,637076.0,14.7,105,35,65,205,3989566,328200000,12154.0,5107.393,0.4
